sid,name,licence,access,date,creator,curators,substances,reference_pmid,reference_title,reference_date
PKDB00327,Eap2004,closed,public,2020-07-19,yduport,"['yduport', 'mkoenig']","['midazolam', '1-hydroxymidazolam', '4-hydroxymidazolam', 'rifampicin', 'ketoconazole']",15114429,Oral administration of a low dose of midazolam (75 microg) as an in vivo probe for CYP3A activity.,2004-09-30
PKDB00322,Eeckhoudt2001,closed,public,2020-07-18,yduport,"['yduport', 'mkoenig']","['midazolam', 'rifampicin']",11471773,Midazolam and cortisol metabolism before and after CYP3A induction in humans.,2001-12-04
PKDB00249,Erp2011,open,public,2019-11-04,yduport,"['yduport', 'mkoenig']","['grapefruit juice', 'midazolam']",20512335,Marginal increase of sunitinib exposure by grapefruit juice.,2011-04-11
PKDB00209,Farkas2007,closed,public,2019-10-09,yduport,"['yduport', 'mkoenig']","['grapefruit juice', 'pomegranate-juice', 'midazolam']",17322140,"Pomegranate juice does not impair clearance of oral or intravenous midazolam, a probe for cytochrome P450-3A activity: comparison with grapefruit juice.",2007-09-05
PKDB00205,Gorski2003,closed,public,2019-10-09,yduport,"['yduport', 'mkoenig']","['midazolam', '15N3-midazolam', 'rifampicin']",12966371,"The effect of age, sex, and rifampin administration on intestinal and hepatic cytochrome P450 3A activity.",2003-09-24
PKDB00179,Greenblatt1986,closed,public,2019-09-26,yduport,"['yduport', 'mkoenig']","['cimetidine', 'ranitidine', 'midazolam']",2935051,Absence of interaction of cimetidine and ranitidine with intravenous and oral midazolam.,1986-02-18
PKDB00298,Greenblatt2004,closed,public,2020-06-23,yduport,"['yduport', 'mkoenig']",['midazolam'],15145968,"Kinetics and EEG effects of midazolam during and after 1-minute, 1-hour, and 3-hour intravenous infusions.",2004-09-20
PKDB00252,Kawaguchi-Suzuki2017,open,public,2019-11-04,yduport,"['yduport', 'mkoenig']","['grapefruit juice', 'midazolam', '1-hydroxymidazolam']",27503364,Effect of Low-Furanocoumarin Hybrid Grapefruit Juice Consumption on Midazolam Pharmacokinetics.,2017-08-16
PKDB00211,Kharasch2004,closed,public,2019-10-09,yduport,"['yduport', 'mkoenig']","['grapefruit juice', 'midazolam', 'rifampicin', 'alfentanil', 'troleandomycin']",15536460,Intravenous and oral alfentanil as in vivo probes for hepatic and first-pass cytochrome P450 3A activity: noninvasive assessment by use of pupillary miosis.,2004-12-02
PKDB00207,Kupferschmidt1995,closed,public,2019-10-09,yduport,"['yduport', 'mkoenig']","['grapefruit juice', 'midazolam', '1-hydroxymidazolam']",7628179,Interaction between grapefruit juice and midazolam in humans.,1995-09-07
PKDB00305,Liu2017,closed,public,2020-06-30,yduport,"['yduport', 'mkoenig']","['midazolam', 'ketoconazole']",28004396,The absorption kinetics of ketoconazole plays a major role in explaining the reported variability in the level of interaction with midazolam: Interplay between formulation and inhibition of gut wall and liver metabolism.,2017-10-09
PKDB00321,McCrea1999,closed,public,2020-07-18,yduport,"['yduport', 'mkoenig']","['midazolam', '1-hydroxymidazolam', 'ketoconazole', '[14C N-methyl] erythromycin']",10586386,Concurrent administration of the erythromycin breath test (EBT) and oral midazolam as in vivo probes for CYP3A activity.,1999-12-16
PKDB00307,Olkkola1994,closed,public,2020-06-30,yduport,"['yduport', 'mkoenig']","['midazolam', 'ketoconazole', 'itraconazole']",8181191,Midazolam should be avoided in patients receiving the systemic antimycotics ketoconazole or itraconazole.,1994-06-14
PKDB00244,Pentikis2007,closed,public,2019-11-03,yduport,"['yduport', 'mkoenig']","['midazolam', '1-hydroxymidazolam', 'rifaximin']",17896891,"The effect of multiple-dose, oral rifaximin on the pharmacokinetics of intravenous and oral midazolam in healthy volunteers.",2007-12-13
PKDB00208,Rogers1999,closed,public,2019-10-09,yduport,"['yduport', 'mkoenig']","['grapefruit juice', 'midazolam', 'lovastatin']",10546919,Grapefruit juice has minimal effects on plasma concentrations of lovastatin-derived 3-hydroxy-3-methylglutaryl coenzyme A reductase inhibitors.,1999-11-10
PKDB00323,Shord2010,open,public,2020-07-19,yduport,"['yduport', 'mkoenig']","['midazolam', '1-hydroxymidazolam', 'clotrimazole']",20233179,Effects of oral clotrimazole troches on the pharmacokinetics of oral and intravenous midazolam.,2010-10-15
PKDB00217,Veronese2003,closed,public,2019-10-25,yduport,"['yduport', 'mkoenig']","['grapefruit juice', 'midazolam', '[14C N-methyl] erythromycin']",12953340,Exposure-dependent inhibition of intestinal and hepatic CYP3A4 in vivo by grapefruit juice.,2003-11-10
PKDB00324,Yu2004,closed,public,2020-07-19,yduport,"['yduport', 'mkoenig']","['midazolam', '1-hydroxymidazolam', 'rifampicin', 'itraconazole']",15289787,Effect of the CYP3A5 genotype on the pharmacokinetics of intravenous midazolam during inhibited and induced metabolic states.,2004-08-24
PKDB00345,Backman2000,closed,public,2020-10-17,FlorBar,"['FlorBar', 'mkoenig']","['simvastatin', 'simvastatin acid', 'gemfibrozil']",10976543,Plasma concentrations of active simvastatin acid are increased by gemfibrozil.,2000-10-10
PKDB00361,Bergman2004,closed,public,2020-10-24,FlorBar,"['FlorBar', 'mkoenig']","['simvastatin', 'simvastatin acid', 'Active HMG-CoA reductase inhibitors (simvastatin)', 'Total HMG-CoA reductase inhibitors (simvastatin)', 'fenofibrate']",15317833,Simvastatin does not have a clinically significant pharmacokinetic interaction with fenofibrate in humans.,2004-12-06
PKDB00351,Cheng1992,closed,public,2020-10-18,FlorBar,"['FlorBar', 'mkoenig']","['lovastatin', 'Active HMG-CoA reductase inhibitors (lovastatin)', 'Total HMG-CoA reductase inhibitors (lovastatin)', 'simvastatin', 'Active HMG-CoA reductase inhibitors (simvastatin)', 'Total HMG-CoA reductase inhibitors (simvastatin)']",1488408,Influence of age and gender on the plasma profiles of 3-hydroxy-3-methylglutaryl-coenzyme A (HMG-CoA) reductase inhibitory activity following multiple doses of lovastatin and simvastatin.,1993-02-19
PKDB00367,Cheng1994,closed,public,2020-10-25,FlorBar,"['FlorBar', 'mkoenig']","['simvastatin', 'Total HMG-CoA reductase inhibitors (simvastatin)', 'total simvastatin metabolites']",8149872,Metabolic disposition of simvastatin in patients with T-tube drainage.,1994-05-06
PKDB00243,Chung2006,closed,public,2019-11-03,yduport,"['yduport', 'mkoenig', 'FlorBar']","['midazolam', 'rifampicin', 'ketoconazole', 'simvastatin']",16580903,Comparison of midazolam and simvastatin as cytochrome P450 3A probes.,2006-05-02
PKDB00352,Gehin2015,closed,public,2020-10-18,FlorBar,"['FlorBar', 'mkoenig']","['simvastatin', 'simvastatin acid', 'setipiprant']",25323804,"Pharmacokinetic interactions between simvastatin and setipiprant, a CRTH2 antagonist.",2015-08-31
PKDB00356,Harvey2018,closed,public,2020-10-19,FlorBar,"['FlorBar', 'mkoenig']","['simvastatin', 'simvastatin acid', 'osimertinib']",30171779,Effect of multiple-dose osimertinib on the pharmacokinetics of simvastatin and rosuvastatin.,2019-11-14
PKDB00355,Hsyu2001,closed,public,2020-10-19,FlorBar,"['FlorBar', 'mkoenig']","['atorvastatin', 'Active HMG-CoA \treductase inhibitors (atorvastatin)', 'simvastatin', 'Active HMG-CoA reductase inhibitors (simvastatin)', 'nelfinavir']",11709322,Pharmacokinetic interactions between nelfinavir and 3-hydroxy-3-methylglutaryl coenzyme A reductase inhibitors atorvastatin and simvastatin.,2002-02-04
PKDB00364,Jacobson2004,closed,public,2020-10-24,FlorBar,"['FlorBar', 'mkoenig', 'jbrandhorst']","['itraconazole', 'clarithromycin', 'pravastatin', 'atorvastatin', 'simvastatin', 'simvastatin acid', 'verapamil', 'mibefradil']",15518608,"Comparative pharmacokinetic interaction profiles of pravastatin, simvastatin, and atorvastatin when coadministered with cytochrome P450 inhibitors.",2005-01-25
PKDB00350,Kantola1998,closed,public,2020-10-18,FlorBar,"['FlorBar', 'mkoenig']","['erythromycin', 'simvastatin', 'simvastatin acid', 'verapamil', 'norverapamil']",9728898,Erythromycin and verapamil considerably increase serum simvastatin and simvastatin acid concentrations.,1998-09-28
PKDB00509,Keskitalo2008,closed,public,2021-09-02,FlorBar,['FlorBar'],"['atorvastatin', 'atorvastatin lactone', '2-hydroxyatorvastatin acid', '2-hydroxyatorvastatin lactone', '4-hydroxyatorvastatin lactone', 'simvastatin', 'simvastatin acid']",19238649,ABCB1 haplotypes differentially affect the pharmacokinetics of the acid and lactone forms of simvastatin and atorvastatin.,2009-03-24
PKDB00510,Keskitalo2009,closed,public,2021-09-02,FlorBar,['FlorBar'],"['pravastatin', 'fluvastatin', 'simvastatin', 'simvastatin acid']",19842935,"Different effects of the ABCG2 c.421C>A SNP on the pharmacokinetics of fluvastatin, pravastatin and simvastatin.",2010-04-16
PKDB00672,Kim2007,closed,public,2023-03-13,FlorBar,"['FlorBar', 'mkoenig']",['simvastatin'],17192506,Effect of polymorphic CYP3A5 genotype on the single-dose simvastatin pharmacokinetics in healthy subjects.,2007-03-01
PKDB00353,Kim2019,closed,public,2020-10-18,FlorBar,"['FlorBar', 'mkoenig']","['simvastatin', 'simvastatin acid', 'cilostazol']",30729119,Effect of Cilostazol on the Pharmacokinetics of Simvastatin in Healthy Subjects.,2019-05-30
PKDB00365,Kyrklund2000,closed,public,2020-10-24,FlorBar,"['FlorBar', 'mkoenig']","['rifampicin', 'simvastatin', 'simvastatin acid']",11180018,Rifampin greatly reduces plasma simvastatin and simvastatin acid concentrations.,2001-01-18
PKDB00342,Lilja1998,closed,public,2020-10-16,FlorBar,"['FlorBar', 'mkoenig']","['grapefruit juice', 'simvastatin', 'simvastatin acid', 'Active HMG-CoA reductase inhibitors (simvastatin)', 'Total HMG-CoA reductase inhibitors (simvastatin)']",9834039,"Grapefruit juice-simvastatin interaction: effect on serum concentrations of simvastatin, simvastatin acid, and HMG-CoA reductase inhibitors.",1998-12-09
PKDB00354,Lilja2000,closed,public,2020-10-19,FlorBar,"['FlorBar', 'mkoenig']","['grapefruit juice', 'simvastatin', 'simvastatin acid']",11061578,Duration of effect of grapefruit juice on the pharmacokinetics of the CYP3A4 substrate simvastatin.,2000-11-21
PKDB00344,Lilja2004,closed,public,2020-10-17,FlorBar,"['FlorBar', 'mkoenig']","['grapefruit juice', 'simvastatin', 'simvastatin acid']",15206993,Effects of regular consumption of grapefruit juice on the pharmacokinetics of simvastatin.,2004-10-12
PKDB00346,Lohitnavy2004,closed,public,2020-10-18,FlorBar,"['FlorBar', 'mkoenig']","['simvastatin', 'Active HMG-CoA reductase inhibitors (simvastatin)']",14979606,Bioequivalence study of two formulations of simvastatin tablets in healthy Thai volunteers.,2004-04-12
PKDB00360,Marino2000,closed,public,2020-10-24,FlorBar,"['FlorBar', 'mkoenig']","['simvastatin', 'simvastatin acid', 'irbesartan']",10934672,Irbesartan does not affect the pharmacokinetics of simvastatin in healthy subjects.,2000-11-30
PKDB00362,Mousa2000,closed,public,2020-10-24,FlorBar,"['FlorBar', 'mkoenig']","['diltiazem', 'simvastatin', 'simvastatin acid']",10741630,The interaction of diltiazem with simvastatin.,2000-04-11
PKDB00349,Najib2003,closed,public,2020-10-18,FlorBar,"['FlorBar', 'mkoenig']","['simvastatin', 'simvastatin acid']",12784317,Pharmacokinetics and bioequivalence evaluation of two simvastatin 40 mg tablets (Simvast and Zocor) in healthy human volunteers.,2004-04-02
PKDB00372,Neuvonen1998,closed,public,2020-10-25,FlorBar,"['FlorBar', 'mkoenig', 'jbrandhorst']","['itraconazole', 'pravastatin', 'Total HMG-CoA reductase inhibitors (pravastatin)', 'simvastatin', 'simvastatin acid', 'Total HMG-CoA reductase inhibitors (simvastatin)']",9542477,Simvastatin but not pravastatin is very susceptible to interaction with the CYP3A4 inhibitor itraconazole.,1998-04-22
PKDB00368,Pasanen2006,closed,public,2020-10-25,FlorBar,"['FlorBar', 'mkoenig']","['simvastatin', 'simvastatin acid']",17108811,SLCO1B1 polymorphism markedly affects the pharmacokinetics of simvastatin acid.,2007-01-31
PKDB00371,Pentikainen1992,closed,public,2020-10-25,FlorBar,"['FlorBar', 'mkoenig', 'jbrandhorst']","['pravastatin', 'Active HMG-CoA reductase inhibitors (pravastatin)', 'Total HMG-CoA reductase inhibitors (pravastatin)', 'lovastatin', 'Active HMG-CoA reductase inhibitors (lovastatin)', 'Total HMG-CoA reductase inhibitors (lovastatin)', 'simvastatin', 'Active HMG-CoA reductase inhibitors (simvastatin)', 'Total HMG-CoA reductase inhibitors (simvastatin)']",1613123,"Comparative pharmacokinetics of lovastatin, simvastatin and pravastatin in humans.",1992-07-30
PKDB00370,Prueksaritanont2001,closed,public,2020-10-25,FlorBar,"['FlorBar', 'mkoenig']","['simvastatin', 'Active HMG-CoA reductase inhibitors (simvastatin)', 'Total HMG-CoA reductase inhibitors (simvastatin)', 'troglitazone', 'pioglitazone']",11361054,Interactions between simvastatin and troglitazone or pioglitazone in healthy subjects.,2001-11-01
PKDB00358,Simard2001,closed,public,2020-10-23,FlorBar,"['FlorBar', 'mkoenig']","['cisapride', 'simvastatin', 'simvastatin acid']",11497338,Study of the drug-drug interaction between simvastatin and cisapride in man.,2001-12-11
PKDB00359,Sugimoto2001,closed,public,2020-10-24,FlorBar,"['FlorBar', 'mkoenig']","['pravastatin', 'simvastatin', 'simvastatin acid', ""St. John's wort extract""]",11753267,Different effects of St John's wort on the pharmacokinetics of simvastatin and pravastatin.,2002-01-15
PKDB00343,TubicGrozdanis2008,closed,public,2020-10-17,FlorBar,"['FlorBar', 'mkoenig']","['simvastatin', 'simvastatin acid']",18213452,Pharmacokinetics of the CYP 3A substrate simvastatin following administration of delayed versus immediate release oral dosage forms.,2008-08-29
PKDB00347,Ucar2004,closed,public,2020-10-18,FlorBar,"['FlorBar', 'mkoenig']","['carbamazepine', 'simvastatin', 'simvastatin acid']",14691614,Carbamazepine markedly reduces serum concentrations of simvastatin and simvastatin acid.,2004-04-30
PKDB00357,Zhi2003,closed,public,2020-10-23,FlorBar,"['FlorBar', 'mkoenig']","['simvastatin', 'simvastatin acid', 'orlistat']",12723464,"Effects of orlistat, a lipase inhibitor, on the pharmacokinetics of three highly lipophilic drugs (amiodarone, fluoxetine, and simvastatin) in healthy volunteers.",2003-07-31
PKDB00348,Ziviani2001,closed,public,2020-10-18,FlorBar,"['FlorBar', 'mkoenig']","['simvastatin', 'simvastatin acid', 'lacidipine']",11259986,The effects of lacidipine on the steady/state plasma concentrations of simvastatin in healthy subjects.,2001-05-03
Wynne1989,Wynne1989,closed,public,2025-10-06,adriankl,['adriankl'],[],2643548,The effect of age upon liver volume and apparent liver blood flow in healthy man.,1989-03-06
PKDB00540,Becquemont1999,closed,public,2022-03-19,lepujolh,"['lepujolh', 'mkoenig']","['pravastatin', 'mibefradil']",10226769,"Mibefradil, a potent CYP3A inhibitor, does not alter pravastatin pharmacokinetics.",1999-07-20
PKDB00560,Deng2008,closed,public,2022-05-19,lepujolh,"['lepujolh', 'mkoenig']","['pitavastatin', 'pravastatin', 'fluvastatin']",18408565,The effect of SLCO1B1*15 on the disposition of pravastatin and pitavastatin is substrate dependent: the contribution of transporting activity changes by SLCO1B1*15.,2008-07-09
PKDB00541,Halstenson1992,closed,public,2022-03-19,lepujolh,"['lepujolh', 'mkoenig']","['creatinine', 'pravastatin', ""SQ 31906 (3'alpha-isopravastatin)"", 'SQ 31945']",1613121,Single-dose pharmacokinetics of pravastatin and metabolites in patients with renal impairment.,1992-07-30
PKDB00602,Hedman2003,closed,public,2022-11-01,lepujolh,"['lepujolh', 'mkoenig']","['triglyceride', 'cholesterol', 'LDL cholesterol', 'HDL cholesterol', 'pravastatin']",12891228,Pharmacokinetics and pharmacodynamics of pravastatin in children with familial hypercholesterolemia.,2003-08-28
PKDB00544,Ho2007,closed,public,2022-04-07,lepujolh,"['lepujolh', 'mkoenig']","['bilirubin', 'bilirubin unconjugated', 'pravastatin']",17622941,Effect of drug transporter genotypes on pravastatin disposition in European- and African-American participants.,2007-09-19
PKDB00605,Igel2006,closed,public,2022-11-01,lepujolh,"['lepujolh', 'mkoenig']","['triglyceride', 'cholesterol', 'lathosterol', 'LDL cholesterol', 'HDL cholesterol', 'pravastatin']",16678544,Impact of the SLCO1B1 polymorphism on the pharmacokinetics and lipid-lowering efficacy of multiple-dose pravastatin.,2006-06-05
PKDB00647,Kazumi1986,closed,public,2022-11-23,lepujolh,"['lepujolh', 'mkoenig']","['triglyceride', 'cholesterol', 'apoA-I', 'apoA-II', 'apoB-100', 'apoC-II', 'apoC-III', 'apoE', 'LDL cholesterol', 'ldl', 'HDL cholesterol', 'hdl', 'VLDL cholesterol', 'vldl', 'pravastatin']",3096862,"Effects of CS-514, a new inhibitor of HMG CoA reductase, on plasma lipids, lipoproteins and apoproteins in patients with primary hypercholesterolemia.",1987-01-08
PKDB00545,Kyrklund2003a,closed,public,2022-04-07,lepujolh,"['lepujolh', 'mkoenig']","['pravastatin', 'gemfibrozil']",12811363,Gemfibrozil increases plasma pravastatin concentrations and reduces pravastatin renal clearance.,2003-07-02
PKDB00547,Kyrklund2004,closed,public,2022-04-07,jbrandhorst,"['jbrandhorst', 'mkoenig', 'lepujolh']","['rifampicin', 'pravastatin']",14748817,Effect of rifampicin on pravastatin pharmacokinetics in healthy subjects.,2004-04-16
PKDB00548,Maeda2006,closed,public,2022-04-07,lepujolh,"['lepujolh', 'mkoenig']","['temocapril', 'temocaprilat', 'valsartan', 'pravastatin']",16678545,"Effects of organic anion transporting polypeptide 1B1 haplotype on pharmacokinetics of pravastatin, valsartan, and temocapril.",2006-06-05
PKDB00604,Martin2012,closed,public,2022-11-01,lepujolh,"['lepujolh', 'mkoenig']","['triglyceride', 'cholesterol', 'CRP', 'LDL cholesterol', 'HDL cholesterol', 'pravastatin']",21851379,The effects of a single nucleotide polymorphism in SLCO1B1 on the pharmacodynamics of pravastatin.,2012-05-01
PKDB00550,Niemi2004,closed,public,2022-04-07,lepujolh,"['janekg', 'lepujolh', 'mkoenig']",['pravastatin'],15226675,"High plasma pravastatin concentrations are associated with single nucleotide polymorphisms and haplotypes of organic anion transporting polypeptide-C (OATP-C, SLCO1B1).",2005-03-21
PKDB00551,Niemi2006,closed,public,2022-04-07,lepujolh,"['lepujolh', 'mkoenig']",['pravastatin'],17047488,Association of genetic polymorphism in ABCC2 with hepatic multidrug resistance-associated protein 2 expression and pravastatin pharmacokinetics.,2007-02-06
PKDB00554,Nishizato2003,closed,public,2022-04-08,lepujolh,"['lepujolh', 'mkoenig']",['pravastatin'],12811365,Polymorphisms of OATP-C (SLC21A6) and OAT3 (SLC22A8) genes: consequences for pravastatin pharmacokinetics.,2003-07-02
PKDB00543,Pan1990a,closed,public,2022-03-21,lepujolh,"['lepujolh', 'janekg', 'mkoenig']","['cholesterol', 'LDL cholesterol', 'pravastatin', ""SQ 31906 (3'alpha-isopravastatin)"", 'SQ 31945', 'Active HMG-CoA reductase inhibitors (pravastatin)', 'Total HMG-CoA reductase inhibitors (pravastatin)', 'lovastatin', 'lovastatin acid', 'Active HMG-CoA reductase inhibitors (lovastatin)', 'Total HMG-CoA reductase inhibitors (lovastatin)']",2125605,Comparative pharmacokinetics and pharmacodynamics of pravastatin and lovastatin.,1991-02-22
PKDB00552,Pan1993a,closed,public,2022-04-07,lepujolh,"['lepujolh', 'janekg', 'mkoenig']","['pravastatin', ""SQ 31906 (3'alpha-isopravastatin)""]",8219432,Pharmacokinetics of pravastatin in elderly versus young men and women.,1993-12-01
PKDB00559,Pan2000,closed,public,2022-05-19,lepujolh,"['lepujolh', 'mkoenig']","['pravastatin', ""SQ 31906 (3'alpha-isopravastatin)"", 'fenofibrate']",10709162,Lack of a clinically significant pharmacokinetic interaction between fenofibrate and pravastatin in healthy volunteers.,2000-03-13
PKDB00606,Reihner1990,closed,public,2022-11-01,lepujolh,"['lepujolh', 'mkoenig']","['placebo', 'triglyceride', 'cholesterol', 'apoA-I', 'apoB-100', 'LDL cholesterol', 'HDL cholesterol', 'VLDL cholesterol', 'vldl', 'pravastatin']",2114543,"Influence of pravastatin, a specific inhibitor of HMG-CoA reductase, on hepatic metabolism of cholesterol.",1990-08-13
PKDB00546,Sigurbjoernsson1998,closed,public,2022-04-19,jbrandhorst,"['jbrandhorst', 'mkoenig']",['pravastatin'],9625267,A pharmacokinetic evaluation of pravastatin in middle-aged and elderly volunteers.,1998-08-12
PKDB00553,Singhvi1990,closed,public,2022-04-07,janekg,"['janekg', 'lepujolh', 'mkoenig']",['pravastatin'],2106337,"Disposition of pravastatin sodium, a tissue-selective HMG-CoA reductase inhibitor, in healthy subjects.",1990-04-12
PKDB00557,Wu2012,closed,public,2022-05-19,lepujolh,"['lepujolh', 'mkoenig']","['pravastatin', 'quercetin']",22114872,Inhibition of the organic anion-transporting polypeptide 1B1 by quercetin: an in vitro and in vivo assessment.,2012-08-02
PKDB00284,Abernethy1982b,closed,public,2020-06-09,janekg,"['mkoenig', 'janekg', 'dannythekey']",['diazepam'],7062953,Impairment of diazepam metabolism by low-dose estrogen-containing oral-contraceptive steroids.,1982-05-12
PKDB00279,Dhillon1981,closed,public,2020-06-07,dannythekey,"['mkoenig', 'dannythekey']","['diazepam', 'nordazepam']",6803820,Pharmacokinetics of diazepam in epileptic patients and normal volunteers following intravenous administration.,1982-07-08
PKDB00286,Friedman1992,closed,public,2020-06-09,dannythekey,"['mkoenig', 'dannythekey']","['diazepam', 'nordazepam']",1505149,"Pharmacokinetics and pharmacodynamics of oral diazepam: effect of dose, plasma concentration, and time.",1992-09-23
PKDB00304,Ghoneim1981,closed,public,2020-06-30,dannythekey,"['dannythekey', 'mkoenig']","['diazepam', 'nordazepam']",7226707,Diazepam effects and kinetics in Caucasians and Orientals.,1981-07-23
PKDB00276,Giles1981,closed,public,2020-06-06,dannythekey,"['mkoenig', 'dannythekey']","['diazepam', 'nordazepam']",7286038,Disposition of intravenous diazepam in young men and women.,1981-12-15
PKDB00295,Greenblatt1989,closed,public,2020-06-21,dannythekey,"['mkoenig', 'dannythekey']","['diazepam', 'nordazepam']",2512694,A large-sample study of diazepam pharmacokinetics.,1990-01-25
PKDB00329,Greenblatt1989a,closed,public,2020-07-20,dannythekey,"['dannythekey', 'mkoenig']","['midazolam', 'diazepam', 'nordazepam']",2702793,"Pharmacokinetic and electroencephalographic study of intravenous diazepam, midazolam, and placebo.",1989-05-24
PKDB00274,Klotz1975,closed,public,2020-06-05,dannythekey,"['mkoenig', 'dannythekey']","['albumin', 'bilirubin', 'Alkaline phosphatase (ALP)', 'Lacate dehydrogenase (LDH)', 'diazepam', 'nordazepam']",1127104,The effects of age and liver disease on the disposition and elimination of diazepam in adult man.,1975-07-14
PKDB00318,Kosuge2001,closed,public,2020-07-10,dannythekey,"['dannythekey', 'mkoenig']","['diltiazem', 'diazepam', 'nordazepam']",11560871,Effects of CYP3A4 inhibition by diltiazem on pharmacokinetics and dynamics of diazepam in relation to CYP2C19 genotype status.,2001-11-01
PKDB00285,Lamson2011,closed,public,2020-06-09,dannythekey,"['mkoenig', 'dannythekey']",['diazepam'],21721594,"Pharmacokinetics of diazepam administered intramuscularly by autoinjector versus rectal gel in healthy subjects: a phase I, randomized, open-label, single-dose, crossover, single-centre study.",2011-11-01
PKDB00281,Lehmann2008,closed,public,2020-06-07,dannythekey,"['mkoenig', 'dannythekey']","['diazepam', 'nordazepam']",18238878,Bioavailability and dose proportionality of intramuscular diazepam administered by autoinjector.,2008-05-28
PKDB00294,MacLeod1979,closed,public,2020-06-21,dannythekey,"['mkoenig', 'dannythekey']",['diazepam'],762252,Age- and gender-related differences in diazepam pharmacokinetics.,1979-04-28
PKDB00273,Macklon1980,closed,public,2020-06-04,dannythekey,"['mkoenig', 'dannythekey']",['diazepam'],7438711,The effect of age on the pharmacokinetics of diazepam.,1981-02-26
PKDB00303,Magnussen1979,closed,public,2020-06-28,dannythekey,"['dannythekey', 'mkoenig']","['diazepam', 'nordazepam']",495118,Absorption of diazepam in man following rectal and parenteral administration.,1979-12-27
PKDB00317,Ohnhaus1979,closed,public,2020-07-10,dannythekey,"['dannythekey', 'mkoenig']","['antipyrine', 'diazepam', 'nordazepam']",42427,The effect of enzyme induction on diazepam metabolism in man.,1980-03-17
PKDB00314,Perucca1994,closed,public,2020-07-06,dannythekey,"['dannythekey', 'mkoenig']","['fluvoxamine', 'diazepam', 'nordazepam']",7955810,Inhibition of diazepam metabolism by fluvoxamine: a pharmacokinetic study in normal volunteers.,1994-12-20
PKDB00282,Wang2020a,closed,public,2020-06-09,dannythekey,"['mkoenig', 'dannythekey']","['diazepam', 'nordazepam', 'oxazepam', 'oxazepam glucuronide', 'temazepam glucuronide']",32219697,Study on the Pharmacokinetics of Diazepam and Its Metabolites in Blood of Chinese People.,2020-01-01
PKDB00283,Wang2020b,closed,public,2020-06-09,dannythekey,"['mkoenig', 'dannythekey']","['diazepam', 'nordazepam']",31965188,An Experimental Pharmacokinetics Study of Diazepam and Its Metabolites in Oral Fluid of Chinese Population.,2020-05-18
PKDB00997,Azizi1999,closed,public,2025-07-02,ennietensil,"['ennietensil', 'mkoenig']","['placebo', 'candesartan cilexetil', 'candesartan', 'angiotensin I', 'angiotensin II', 'renin', 'losartan potassium', 'losartan', 'Losartan carboxylic acid (E3174)']",10404959,Pharmacokinetic-pharmacodynamic interactions of candesartan cilexetil and losartan.,1999-08-17
